Gene,p_value,fold_change
1007_s_at,0.00016562461156263854,755.0009302325584
1053_at,0.00246098464356502,31.28988837209299
117_at,3.484707565302642e-11,528.1151395348836
121_at,3.4081893239782036e-12,1207.1290697674422
1255_g_at,2.0800573793720515e-06,200.254069767442
1294_at,8.077175142584989e-06,165.11864186046512
1316_at,9.521944385933946e-10,450.60202325581406
1320_at,0.00021086520934207863,35.8893511627907
1405_i_at,0.08662765866748323,43.79130697674417
1431_at,0.00830550762086175,90.97864418604655
1438_at,0.008306516101371508,143.32779069767446
1487_at,1.6290039275102674e-10,495.01218604651183
1494_f_at,3.737152570835277e-11,500.4733488372094
1598_g_at,3.648726035638413e-08,857.0967674418605
160020_at,1.402059251127137e-05,838.0995348837209
1729_at,9.066363612612656e-05,225.9812813953488
1773_at,8.627594616599878e-05,192.57252558139544
177_at,0.0015780651114793939,79.06069069767446
179_at,2.6633817778295213e-05,541.792558139535
1861_at,3.7245520917621885e-06,142.14205813953487
200000_s_at,0.022777986840075343,155.62618372093016
200001_at,4.0804551495393987e-07,725.6597441860464
200002_at,5.467592045453103e-08,903.4729069767436
200003_s_at,1.084302090839183e-06,1132.5070465116287
200004_at,2.5329084576139753e-05,1222.0674418604658
200005_at,1.0934982522140943e-08,1032.0996744186043
200006_at,3.0907150929013528e-06,2097.3111627906974
200007_at,3.3451808795161984e-10,1199.517418604651
200008_s_at,3.131928141197699e-11,1070.3845581395356
200009_at,7.2978220625365655e-09,1687.5667441860455
200010_at,0.04005065687727339,290.8387534883723
200011_s_at,0.008688102822134993,371.24086046511593
200012_x_at,3.211854018503593e-07,1440.8472790697683
200013_at,0.0015041073378379228,789.85865116279
200014_s_at,2.0711688814903556e-07,865.1707441860465
200015_s_at,2.5619080851961534e-10,2049.731534883719
200016_x_at,8.574210902842898e-07,2278.944418604651
200017_at,0.0003082661795129135,804.1144186046508
200018_at,7.540281904441163e-05,1184.2906976744189
200019_s_at,4.424479950994939e-11,2301.4534883720935
200020_at,0.009360069998668839,443.44467441860456
200021_at,0.00013710546152999336,768.1141162790695
200022_at,5.577273375800621e-07,1849.2156279069773
200023_s_at,6.275599263867618e-07,1428.73734883721
200024_at,6.847615452258576e-08,1334.7202558139525
200025_s_at,2.5162082744106933e-07,1511.5688372093018
200026_at,0.004342685636520076,867.5158139534879
200027_at,2.142671647773236e-05,829.657069767442
200028_s_at,0.005919806422225871,478.64497674418635
200029_at,0.0019643668694671363,1350.640604651162
200030_s_at,3.484490426149542e-06,1269.3788372093027
200031_s_at,6.239226766613091e-08,2060.4738372093016
200032_s_at,3.60446990154127e-05,2018.2593023255822
200033_at,1.3753435920632875e-06,1718.6156279069755
200034_s_at,3.420166743293237e-07,1686.3783720930228
200035_at,4.994174907433545e-09,337.0402790697674
200036_s_at,0.0002794088381547727,851.1576744186048
200037_s_at,5.1285103904345185e-06,1238.256744186047
200038_s_at,1.3237613965363785e-07,1290.5831395348841
200039_s_at,6.879378678384743e-09,1142.8373255813958
200040_at,0.02108309695798418,460.94676744186063
200041_s_at,1.1801864580220949e-07,1502.8592813953485
200042_at,4.9591957454378995e-12,721.0688139534882
200043_at,0.013922002963027405,380.07986046511644
200044_at,5.941353050086599e-07,530.1262558139534
200045_at,1.4516876506089952e-10,853.1232790697672
200046_at,5.044492023287237e-09,1217.631790697674
200047_s_at,5.421097055120294e-07,1185.5983720930226
200048_s_at,0.0004154069723488903,804.8484186046521
200049_at,7.82177641230294e-07,888.6541860465115
200050_at,8.050557194402619e-07,463.4986046511626
200051_at,0.17203044294918615,27.384723255813952
200052_s_at,4.093570841887058e-07,759.9179906976747
200053_at,3.0733846223400953e-14,683.8004651162789
200054_at,1.055112272783756e-06,274.98502325581387
200055_at,0.0006283450085469751,500.74841860465176
200056_s_at,0.01774897749472543,116.05596511627925
200057_s_at,1.2590447880747635e-08,1372.993488372092
200058_s_at,1.8580857785754987e-06,659.2968139534887
200059_s_at,1.8818164879984863e-09,1932.6195348837205
200060_s_at,0.005463618225689775,383.5732790697673
200061_s_at,3.524954015703515e-07,1094.1690697674421
200062_s_at,8.491034705693055e-13,3777.0888372092995
200063_s_at,0.0008945790228020731,1156.1090697674413
200064_at,1.1563910761730109e-09,1737.3648837209307
200065_s_at,0.0038251754154894975,512.3797209302327
200066_at,0.0005392286394962216,327.38139534883726
200067_x_at,1.651723125040936e-06,1264.4386046511631
200068_s_at,1.9661570084500804e-08,1201.595372093023
200069_at,4.4801627654089564e-05,428.40176744186056
200070_at,3.539133955495341e-06,268.696465116279
200071_at,0.0010908395612186737,353.813441860465
200072_s_at,1.0004555173956894e-05,735.1544651162794
200073_s_at,2.4713653306369197e-08,633.7250000000001
200074_s_at,0.0005517057759304015,653.8355116279067
200075_s_at,7.920938661181699e-06,250.58391162790704
200076_s_at,1.6547867954977449e-09,597.4139069767439
200077_s_at,1.5236289560283804e-08,1591.3127906976742
200078_s_at,4.57871172159854e-05,472.71038604651176
200079_s_at,2.0100470308670184e-13,1051.8895581395348
200080_s_at,1.4006897822107007e-06,1539.3727906976733
200081_s_at,0.000987079206817819,1306.0490930232559
200082_s_at,1.806085794952324e-10,924.5282093023261
200083_at,3.913989126592042e-12,796.7587441860464
200084_at,0.0028301246176878746,443.5634651162791
200085_s_at,0.09899464259134291,45.80593720930233
200086_s_at,0.0004750936444898176,1092.7621395348842
200087_s_at,1.7297461466041913e-05,927.4232325581397
200088_x_at,3.3455553248595285e-09,2877.5351162790685
200089_s_at,8.506936933224455e-08,1548.2368139534883
200090_at,0.0009229952303743565,709.2271627906973
200091_s_at,2.680114662149828e-05,1085.644651162791
200092_s_at,1.1648148372923455e-07,1990.5074418604663
200093_s_at,0.0405881700518475,139.42716279069793
200094_s_at,0.026709408946438563,554.3037209302329
200095_x_at,1.750581140129221e-08,2570.206744186049
200096_s_at,2.9978483247060518e-05,1149.659093023256
200097_s_at,9.073191424398089e-10,1059.2883720930233
200098_s_at,0.0004788816557043871,539.5151162790696
200099_s_at,2.9428136766733637e-06,2295.4660465116285
200593_s_at,9.404489982424578e-05,339.4613395348838
200594_x_at,1.929711106439296e-07,977.2204651162797
200595_s_at,5.740288359960977e-07,784.8146046511633
200596_s_at,0.003516746757063202,402.11397441860436
200597_at,1.1135143659930714e-09,548.8983255813955
200598_s_at,0.0007927335652748425,278.6542325581395
200599_s_at,1.2358999479227594e-05,846.7028372093021
200600_at,0.0032339417487692885,528.1143488372095
200601_at,0.12541751285480082,61.06190697674418
200602_at,0.030229101106603526,524.3543023255811
200603_at,2.591217912975866e-07,1190.197953488372
200604_s_at,1.1489553471370042e-08,311.1288976744185
200605_s_at,4.294422847143243e-08,847.0893720930234
200606_at,0.000961207626813477,932.6525813953485
200607_s_at,2.7238769321577226e-09,1186.0038372093024
200608_s_at,2.3636486893554695e-05,867.878558139535
200609_s_at,0.009218311173172913,289.5042325581396
200610_s_at,2.605023416915247e-10,948.8813488372093
200611_s_at,6.277357177985618e-07,227.84976744186054
200612_s_at,5.816186669065019e-09,877.1851627906974
200613_at,1.0519035289279873e-08,648.0845069767443
200614_at,8.022218737300928e-12,2543.5197674418605
200615_s_at,0.8507858628708637,-11.962597674418532
200616_s_at,4.508828023040085e-05,118.37474418604657
200617_at,4.86552362396029e-09,553.4760930232562
200618_at,0.0015248181025562838,659.6216279069768
200619_at,2.0723944306306967e-06,47.06871162790699
200620_at,3.2872051579833355e-09,905.4733488372096
200621_at,0.00421989558988026,356.37899999999945
200622_x_at,1.3154588751136552e-06,385.04434883720904
200623_s_at,5.351008748644508e-12,46.860141860465106
200624_s_at,2.4898121148944226e-10,826.4116744186053
200625_s_at,1.1940970701366561e-05,699.1537325581395
200626_s_at,0.0018955035952185428,526.1698558139534
200627_at,2.9686423415738936e-06,1257.0651627906973
200628_s_at,7.257179106008352e-08,122.38243720930237
200629_at,2.860483807053551e-05,748.9003720930236
200630_x_at,1.7394514315406223e-08,786.1370465116279
200631_s_at,0.0019661694149629436,570.3012325581392
200632_s_at,0.0002091105711816869,1221.0314883720926
200633_at,3.099964344517364e-10,3746.917674418605
200634_at,2.5364080157328647e-05,273.88943255813956
200635_s_at,2.9757750957126464e-06,443.86888372093017
200636_s_at,0.008801851274887284,449.69060465116286
200637_s_at,0.007379744841457583,49.249611627907
200638_s_at,5.2471179709126465e-06,817.3415488372094
200639_s_at,0.0007269162369172039,638.6060232558136
200640_at,3.566491080870896e-07,1770.3763255813947
200641_s_at,2.234999006623298e-11,825.5174186046511
200642_at,4.601464948717426e-07,1297.5114418604644
200643_at,0.000363993938200455,80.55839534883717
200644_at,0.08159232238405506,139.90337209302322
200645_at,1.127006480351002e-13,2045.3076744186055
200646_s_at,0.001818199117319819,100.53633023255816
200647_x_at,0.00044055985342180814,739.9676046511624
200648_s_at,6.235923205886369e-05,607.3696744186045
200649_at,0.006668356104687934,296.21009302325604
200650_s_at,1.1749821787603942e-09,2813.5865116279065
200651_at,1.3371746787537272e-07,905.2408348837214
200652_at,5.579356809583258e-09,1497.5633953488364
200653_s_at,0.09843189499519849,168.6029418604652
200654_at,1.6331319502813207e-05,602.5676186046512
200655_s_at,1.3687121456804996e-07,1232.6697674418601
200656_s_at,1.7562602655039915e-05,293.34756511627904
200657_at,1.5570588808582686e-05,1188.0517674418606
200658_s_at,1.0057391999616074e-07,326.0081395348837
200659_s_at,1.642273261362288e-10,883.9650232558133
200660_at,0.009956070564033814,171.420534883721
200661_at,1.097361997188221e-08,96.98831162790705
200662_s_at,1.936200720279566e-07,1080.1
200663_at,4.625743629201877e-08,1570.7055813953489
200664_s_at,0.16691878621426096,43.81539999999998
200665_s_at,6.016946135459677e-07,1928.3220441860467
200666_s_at,4.9219116439366495e-05,547.4060232558139
200667_at,8.984535762677978e-09,1000.5613488372092
200668_s_at,1.352103477068682e-13,2196.2337209302327
200669_s_at,1.0991305228142712e-18,1308.3476511627907
200670_at,1.6089200255532464e-05,906.541162790697
200671_s_at,0.0027890921722490865,16.067034883720943
200672_x_at,4.337157376821617e-05,109.87176279069766
200673_at,2.2057445964997738e-11,2510.4181395348837
