Gene,p_value,fold_change
213614_x_at,2.2323661405996335e-12,4711.959999999999
212869_x_at,1.6041137407707035e-09,4057.3881395348817
206559_x_at,3.8604323408474856e-11,4003.524186046514
212284_x_at,8.163461374465618e-09,3872.975581395347
200062_s_at,8.491034705693055e-13,3777.0888372092995
200633_at,3.099964344517364e-10,3746.917674418605
212391_x_at,3.630523631705953e-08,3550.8127906976715
204892_x_at,6.636402791884556e-10,3442.4772093023257
200717_x_at,2.6814570183117953e-10,3423.5046511627907
213583_x_at,5.232084362279097e-10,3386.867441860466
201257_x_at,7.668513780230517e-08,3366.8969767441886
213084_x_at,1.1598726121997644e-12,3359.710930232557
214003_x_at,2.748466102023293e-07,3347.6016279069763
201891_s_at,5.012805680374829e-09,3344.6204651162807
AFFX-hum_alu_at,9.280333316107673e-10,3292.353488372095
213477_x_at,4.287197344736222e-10,3280.0065116279075
211696_x_at,0.0002305738631981118,3143.8440000000014
211542_x_at,5.8425837630791214e-08,3128.2297674418596
201154_x_at,8.990371643781596e-11,3106.843720930234
207783_x_at,7.676655525593571e-09,3092.8848837209307
213828_x_at,1.2950778966143078e-08,3088.253488372092
200933_x_at,8.597767015026877e-10,3077.600000000002
212581_x_at,4.629189457968372e-12,3069.629534883721
200958_s_at,1.518680539866337e-11,3013.607906976743
211978_x_at,6.519341112948147e-08,2983.3469767441857
201293_x_at,1.0037362029942097e-08,2971.0876744186044
200817_x_at,4.3199492635488576e-07,2921.434186046513
201217_x_at,9.107175821937943e-08,2899.2174418604645
200088_x_at,3.3455553248595285e-09,2877.5351162790685
210646_x_at,1.1030119081961498e-09,2871.1342093023236
211378_x_at,1.174592688967591e-07,2848.0058139534895
200650_s_at,1.1749821787603942e-09,2813.5865116279065
200926_at,1.238899311011241e-06,2806.1651162790704
212661_x_at,6.8166122570454095e-09,2794.773953488373
211943_x_at,5.372843997827215e-09,2767.0430232558156
201429_s_at,4.195472993913245e-06,2766.2030232558145
201492_s_at,2.1464900864642143e-09,2761.7695348837215
215726_s_at,1.8479087863901236e-12,2730.08534883721
211710_x_at,2.8217812990982973e-11,2693.529302325582
212790_x_at,3.8964209043845436e-09,2681.3097674418586
AFFX-HUMGAPDH/M33197_M_at,8.845509685110702e-10,2671.054069767442
201550_x_at,5.61732283952263e-09,2655.2183720930225
213080_x_at,4.691321123694803e-08,2654.28930232558
211765_x_at,2.335791772379927e-09,2645.747441860465
217740_x_at,2.3547292206098077e-10,2636.903023255816
201033_x_at,8.614930135777768e-11,2614.5972093023247
213738_s_at,3.31492302019702e-10,2596.6234883720913
212788_x_at,2.95016280837638e-08,2596.382558139534
215076_s_at,0.0001551146122091527,2587.801837209302
219883_at,2.9251158030152833e-09,2585.489255813954
213867_x_at,1.2042211308879788e-08,2579.481302325583
211073_x_at,5.276470311056798e-07,2576.4139534883725
200095_x_at,1.750581140129221e-08,2570.206744186049
211970_x_at,4.5979867822419724e-09,2561.0176744186047
212639_x_at,1.6485981174561794e-14,2557.946511627908
200614_at,8.022218737300928e-12,2543.5197674418605
208755_x_at,6.622269201679228e-06,2542.052325581395
214629_x_at,5.780042916799637e-08,2512.093255813954
200673_at,2.2057445964997738e-11,2510.4181395348837
396_f_at,2.319784256275913e-06,2506.1483720930255
208695_s_at,5.741017165596967e-08,2499.1630232558136
215313_x_at,7.828639382994256e-10,2497.5632558139537
211296_x_at,6.912237513161575e-10,2496.9181395348846
214548_x_at,1.6796870970525966e-09,2481.266534883722
221607_x_at,1.6974882128845477e-09,2469.186279069767
201254_x_at,3.7777826909499523e-06,2464.477441860464
200807_s_at,2.105881064843766e-09,2463.260000000001
209116_x_at,0.003626197317489725,2443.1838046511634
205480_s_at,2.14363907440544e-09,2441.936279069768
200716_x_at,2.48938076479008e-08,2416.8288604651166
200963_x_at,6.528475789597911e-07,2414.7060465116274
200763_s_at,1.2342174790202877e-09,2402.5444186046507
211720_x_at,1.175230642316848e-08,2398.241627906976
